German,English
schlimm,bad
eigentlich,actually
scheiß,shit
böse,evil
Tisch,table
Ziel,goal
fliegen,to fly
dumm,stupid
eher,rather
herum,around
Laden,shop
Firma,company
bezahlen,to pay
tat,deed
Fenster,window
Beispiel,example
Anruf,call
verdammte,damn
Bauer,farmer
Karte,card
Befehl,command
unglaublich,incredible
bekannt,known
Kamera,camera
schlagen,to beat
Amerika,America
Zug,train
perfekt,perfect
witzig,funny
ernst,serious
wär's,would it be
weiß,white
wert,value
rüber,over
schätze,treasures
Witz,joke
großartig,grand
Herzen,hearts
stolz,proud
egal,all the same
komisch,funny
bitten,request
Lage,layer
sowieso,anyway
nötig,necessary
Insel,island
Frage,question
wünschte,wish
Seele,soul
plötzlich,sudden
